epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,190.099,1.33515,1.71387,0.89078,1.15078,0,0.67274,0.73333,0.75061,0.35226,0.54622,0.6,0.56448,0.27052,1.86987,2.9068,1.25687,1.4974,0,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
65,192.821,1.20591,1.62056,0.83868,1.10559,0,0.84467,0.7256,0.79713,0.34678,0.69194,0.59903,0.63956,0.27935,1.99451,3.05097,1.25363,1.54598,0,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
66,195.61,1.21894,1.61401,0.80418,1.09844,0,0.69935,0.66667,0.73885,0.35795,0.72463,0.46667,0.57897,0.28589,1.89775,2.87846,1.15086,1.51865,0,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275,0.0027825,0.0009275
67,198.594,1.23227,1.71242,0.82201,1.0811,0,0.87231,0.66667,0.74727,0.35826,0.87231,0.66667,0.77205,0.30356,1.90551,2.72642,1.21981,1.55672,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
68,201.406,1.23211,1.65786,0.78762,1.09117,0,0.91933,0.761,0.82339,0.36786,0.91643,0.73126,0.77859,0.34165,1.79207,2.64684,1.16827,1.44089,0,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945,0.0026835,0.0008945
69,204.167,1.18016,1.64104,0.79973,1.07154,0,0.85212,0.73333,0.81279,0.3541,0.91479,0.71685,0.75511,0.32464,1.84707,2.74132,1.24147,1.46755,0,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
70,206.886,1.20965,1.64351,0.78507,1.11741,0,0.84156,0.70946,0.74085,0.35683,0.84156,0.70946,0.75133,0.29878,1.90614,2.87515,1.23558,1.49972,0,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
71,209.678,1.17457,1.49705,0.77613,1.11858,0,0.84613,0.73319,0.78277,0.35267,0.776,0.69405,0.67147,0.29934,1.85807,2.6915,1.23863,1.47413,0,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
72,212.708,1.22884,1.65671,0.84558,1.12802,0,0.69876,0.73333,0.70126,0.36579,0.78708,0.8,0.75401,0.32771,1.97744,2.63771,1.25877,1.54134,0,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285,0.0024855,0.0008285
73,215.475,1.10167,1.58357,0.78453,1.08107,0,0.85513,0.7878,0.77646,0.36902,0.71328,0.66362,0.61435,0.31802,2.00942,2.57189,1.35309,1.56707,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
74,218.283,1.15741,1.5108,0.78559,1.07473,0,0.77847,0.66667,0.70753,0.39148,0.70897,0.6,0.59727,0.33377,2.03894,2.68883,1.28314,1.61733,0,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955,0.0023865,0.0007955
75,221.053,1.07922,1.49873,0.74568,1.05481,0,0.76296,0.73333,0.67624,0.36801,0.72245,0.6,0.56261,0.29451,2.07174,2.81829,1.27345,1.64065,0,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
76,224.29,1.20639,1.73174,0.78594,1.11761,0,0.80475,0.82533,0.82289,0.36442,0.63962,0.73333,0.67457,0.30406,2.12192,2.8711,1.17773,1.653,0,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
77,227.776,1.16771,1.60905,0.76557,1.09002,0,0.80011,0.86667,0.82255,0.36731,0.81318,0.66667,0.6705,0.30777,2.07241,2.87007,1.17404,1.64714,0,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
78,231.322,1.08374,1.52335,0.75205,1.05333,0,0.76116,0.66667,0.68794,0.36038,0.83916,0.73333,0.78268,0.31754,2.05818,2.83166,1.206,1.64887,0,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295,0.0021885,0.0007295
